lenldtwbte1t01.jcpenney.com	Web 
lenldtapte1t01.jcpenney.com	App 
lenldtapte1t02.jcpenney.com	App 
lenldtmgte1t01.jcpenney.com	App
lenldtwbte2t01.jcpenney.com	Web 
lenldtapte2t01.jcpenney.com	App 
lenldtapte2t02.jcpenney.com	App 
lenldtmgte2t01.jcpenney.com	App 
lenldtwblt2l01.jcpenney.com	Web 
lenldtwblt2l02.jcpenney.com	Web 
lenldtaplt2l01.jcpenney.com	App 
lenldtaplt2l03.jcpenney.com	App 
lenldtmglt2l01.jcpenney.com	App 
lenldtmglt2l02.jcpenney.com	App 
lenldtwbsp1s01.jcpenney.com	Web 
lenldtwbsp1s02.jcpenney.com	Web 
lenldtapsp1s01.jcpenney.com	App 
lenldtapsp1s02.jcpenney.com	App 
lenldtapsp1s03.jcpenney.com	App 
lenldtapsp1s04.jcpenney.com	App 
lenldtmgsp1s01.jcpenney.com	App 
lenldtmgsp1s02.jcpenney.com	App 
